#id,tipo,ipOrigem,portaOrigem,hostnameOrigem,ipDestino,portaDestino,malware,protocolo,sistemaOperacional,passo1,passo2,passo3,passo4,passo5,passo6,passo7,passo8,passo9,passo10,passo11,passo12,passo13,passo14
219,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
220,1,3356633986,0,0,0,9674,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
221,1,3356631523,0,9,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
222,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
223,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
224,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
225,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
226,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
227,1,3356633858,0,0,3428803542,0,24,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
228,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
229,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
230,1,3356631318,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
231,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
232,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
233,1,3356631522,0,0,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
234,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
235,1,3356633986,9674,0,0,0,25,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
236,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
237,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
238,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
239,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
240,1,3356633858,0,32,3428803542,0,24,0,1,16,17,11,12,23,0,0,0,0,0,0,0,0,0
241,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
242,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
243,1,3356631523,0,0,0,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
244,1,3356631522,0,8,3428803542,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
245,1,3356631522,0,8,0,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
246,1,3356631522,0,8,0,0,24,0,1,16,17,28,29,8,6,9,2,3,31,38,23,0,0
247,1,3356632613,1900,12,0,0,36,0,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
248,1,3356634547,0,15,2863841042,6667,0,2,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
249,9,3356634396,0,34,0,0,0,0,0,16,17,1,15,25,5,2,3,9,31,21,22,23,0
