875392,2,72,64406,86,null,null,null,null,null,1,null,16,17,1,11,35,12,42,21,22,23,null,null,null,null
870964,1,51,50035,null,3,112,80,15,7,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
867496,1,22,55697,null,27,98,80,17,10,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
867507,1,42,52932,null,1,null,null,null,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
862882,1,22,49733,4,27,98,80,19,null,null,null,16,17,28,29,8,6,9,2,3,31,38,23,null,null
861324,1,42,53791,null,1,null,null,null,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
860460,1,42,51028,null,1,null,null,null,25,5,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
858755,1,51,60393,31,3,null,80,7,6,null,1,16,17,1,11,35,12,42,21,22,23,null,null,null,null
845538,1,31,2542,35,30,65,80,null,4,null,1,16,17,1,15,25,5,2,3,9,31,21,22,23,null
840820,1,17,41101,13,29,98,80,13,3,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
833577,1,43,62663,31,32,null,80,23,6,null,1,16,17,11,12,23,null,null,null,null,null,null,null,null,null
826163,1,1,null,33,null,null,null,null,9,null,1,16,17,1,15,25,5,2,3,9,31,21,22,23,null
824735,1,17,40367,null,null,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
823906,1,43,51457,87,null,45,null,null,14,null,3,16,17,11,12,23,null,null,null,null,null,null,null,null,null
823134,1,17,45787,37,29,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
808204,1,31,1770,35,30,65,80,null,4,null,1,16,17,1,15,25,5,2,3,9,31,21,22,23,null
808203,1,17,38084,63,29,65,80,null,4,null,1,16,17,28,29,8,6,9,2,3,31,38,23,null,null
731430,4,16,null,85,null,null,null,null,null,null,null,16,17,11,25,43,44,31,23,null,null,null,null,null,null
726418,5,25,null,null,null,null,null,null,null,3,null,16,17,1,11,35,12,42,21,22,23,null,null,null,null
